ID;Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
5401;variation;10131-R-P;Vestido Natalia Mid - ROSA, P;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;P;;1;;;;
5400;variation;10131-R-PP;Vestido Natalia Mid - ROSA, PP;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5406;variable;10135;Vestido Stefany;-1;Vestido curto tomara-que-caia com babado na barra, busto com detalhe em pregas e na saia detalhes drapeado fixado. Recorte e abertura na lateral do vestido. Fechamento com zíper de metal dourado.;1;;;0;0;425;32;21;12;0;589,99;Vestido, Vestido > Vestido Curto;;Cor;LARANJA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 98% Algodão 02% Elastano ;1;0
5420;variation;10135-L-G;Vestido Stefany - LARANJA, G;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;LARANJA;;1;Tamanho;G;;1;;;;
5421;variation;10135-L-GG;Vestido Stefany - LARANJA, GG;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;LARANJA;;1;Tamanho;GG;;1;;;;
5419;variation;10135-L-M;Vestido Stefany - LARANJA, M;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;LARANJA;;1;Tamanho;M;;1;;;;
5418;variation;10135-L-P;Vestido Stefany - LARANJA, P;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;LARANJA;;1;Tamanho;P;;1;;;;
5417;variation;10135-L-PP;Vestido Stefany - LARANJA, PP;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;LARANJA;;1;Tamanho;PP;;1;;;;
5425;variation;10135-R-G;Vestido Stefany - ROSA, G;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;ROSA;;1;Tamanho;G;;1;;;;
5426;variation;10135-R-GG;Vestido Stefany - ROSA, GG;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5424;variation;10135-R-M;Vestido Stefany - ROSA, M;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;ROSA;;1;Tamanho;M;;1;;;;
5423;variation;10135-R-P;Vestido Stefany - ROSA, P;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;ROSA;;1;Tamanho;P;;1;;;;
5422;variation;10135-R-PP;Vestido Stefany - ROSA, PP;-1;;1;1;;0;0;;;;;0;589,99;;10135;Cor;ROSA;;1;Tamanho;PP;;1;;;;
